datetime,光電業,其他,化學工業,半導體,居家生活,建材營造,數位雲端,文化創意業,材料,汽車工業,油電燃氣業,生技醫療,綠能環保,航運業,觀光餐旅,資訊服務業,通信網路業,金融業,鋼鐵工業,電子商務,電子通路業,電子零組件,電機機械,電腦及週邊,食品工業
2013-09-02,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-09-03,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-09-04,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-09-05,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-09-06,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-09-09,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-09-10,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-09-11,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-09-12,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-09-13,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-09-14,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-09-16,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-09-17,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-09-18,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-09-23,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-09-24,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-09-25,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-09-26,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-09-27,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-09-30,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-10-01,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-10-02,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-10-03,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-10-04,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-10-07,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-10-08,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-10-09,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-10-11,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-10-14,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-10-15,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-10-16,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-10-17,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-10-18,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-10-21,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-10-22,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-10-23,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-10-24,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-10-25,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-10-28,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-10-29,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-10-30,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-10-31,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-11-01,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-11-04,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
